"";"ID";"Host.Since";"City";"Neighbourhood.Group.Cleansed";"Latitude";"Longitude";"Zipcode";"Property.Type";"Room.Type";"Accommodates";"Bathrooms";"Bedrooms";"Beds";"Number.of.Reviews";"Review.Scores.Rating";"Reviews.per.Month";"Cancellation.Policy";"precio.total";"precio_m2_2017";"Wireless.Internet";"Kitchen";"Heating";"Essentials";"Washer";"TV";"Elevator.in.building";"Family.kid.friendly";"Iron";"Hair.dryer";"Air.conditioning";"Laptop.friendly.workspace";"Smoke.detector";"Wheelchair.accessible";"Lock.on.bedroom.door";"Free.parking.on.premises"
"1";16064297;"4/4/16";"Madrid";"Centro";40,4246831942799;-3,69543567037286;28013;"Apartment";"Entire home/apt";7;4,5;3;7;3;100;0,87;"strict";1565;3564;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
"2";14495975;"8/8/16";"Madrid";"Hortaleza";40,4534971939275;-3,61301022879679;28043;"Apartment";"Entire home/apt";16;6,5;10;16;0;91,6317014057198;1,92662515566625;"flexible";1450;2563;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;1
"3";6394264;"27/4/15";"Madrid";"Salamanca";40,434257921834;-3,67749690183818;28001;"Apartment";"Entire home/apt";5;2;2;2;0;91,6317014057198;1,92662515566625;"strict";1360;3935;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"4";2086594;"25/1/13";"Madrid";"Retiro";40,406981057308;-3,67555055215778;28007;"Apartment";"Entire home/apt";8;5;4;4;22;88;0,6;"strict";1360;3404;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0
"5";13759991;"27/4/15";"Madrid";"Salamanca";40,4352280413189;-3,68449903345876;28001;"Apartment";"Entire home/apt";4;1;2;2;0;91,6317014057198;1,92662515566625;"strict";1356;3935;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"6";16490785;"11/11/14";"Madrid";"Salamanca";40,4250075774258;-3,6878637142094;28001;"Apartment";"Entire home/apt";10;4,5;5;8;10;100;3,09;"moderate";1290;3935;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"7";4949149;"12/6/12";"Madrid";"Centro";40,4224699957889;-3,69606175212477;28013;"Apartment";"Entire home/apt";6;2;3;3;25;100;1;"strict";1280;3564;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1
"8";9639826;"27/4/15";"Madrid";"Chamartin";40,4660474343604;-3,67431987037018;28002;"House";"Entire home/apt";10;5;5;9;0;91,6317014057198;1,92662515566625;"strict";1250;3663;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0
"9";13647790;"27/4/15";"Madrid";"Moncloa - Aravaca";40,4696035839563;-3,73642414752307;28008;"House";"Entire home/apt";14;6;7;9;0;91,6317014057198;1,92662515566625;"strict";1250;3029;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0
"10";9644304;"27/4/15";"Madrid";"Centro";40,4276492592691;-3,69802985475604;28013;"Apartment";"Entire home/apt";4;1;2;4;0;91,6317014057198;1,92662515566625;"strict";1230;3564;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"11";8217147;"27/4/15";"Madrid";"Salamanca";40,4263732698692;-3,68420366187472;28001;"Apartment";"Entire home/apt";2;1;1;1;0;91,6317014057198;1,92662515566625;"strict";1205;3935;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"12";16094640;"27/4/15";"Madrid";"Chamberi";40,4278060861601;-3,69312454336437;28010;"Apartment";"Entire home/apt";2;1;1;2;0;91,6317014057198;1,92662515566625;"strict";1200;3863;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1
"13";1560768;"21/8/13";"Madrid";"Retiro";40,4011929802775;-3,67475027821132;28007;"Apartment";"Entire home/apt";8;2;4;6;0;91,6317014057198;1,92662515566625;"flexible";1190;3404;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1
"14";7472261;"20/7/15";"Madrid";"Retiro";40,4178840004166;-3,68966875036639;28007;"Apartment";"Entire home/apt";8;3;4;5;34;100;1,74;"strict";1173;3404;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1
"15";9850462;"20/2/15";"Madrid";"Chamberi";40,4298060138212;-3,70544644400412;28010;"Apartment";"Entire home/apt";8;3,5;4;6;7;91;0,63;"strict";1160;3863;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
"16";16484795;"23/12/16";"Madrid";"Centro";40,4205462149913;-3,70104103480678;28013;"Apartment";"Entire home/apt";12;2;6;6;0;91,6317014057198;1,92662515566625;"strict";1140;3564;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1
"17";17701307;"20/2/17";"Madrid";"Centro";40,4194575382564;-3,70290203148674;28013;"Apartment";"Entire home/apt";6;1;2;3;0;91,6317014057198;1,92662515566625;"strict";1116;3564;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0
"18";3659946;"2/6/14";"Madrid";"Centro";40,4100231118299;-3,70014531432657;28013;"House";"Entire home/apt";7;2;4;5;3;93;0,1;"strict";1110;3564;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
"19";6485459;"27/4/15";"Madrid";"Retiro";40,4142290366277;-3,68897195592857;28007;"Apartment";"Entire home/apt";2;1;1;2;0;91,6317014057198;1,92662515566625;"strict";1105;3404;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1
"20";12487596;"14/11/12";"Madrid";"Centro";40,42339882077;-3,69515426348189;28013;"Apartment";"Entire home/apt";14;5;5;10;11;100;1,39;"strict";1100;3564;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"21";17259719;"20/2/15";"Madrid";"Salamanca";40,4216485547206;-3,68702369143002;28001;"Apartment";"Entire home/apt";4;2,5;2;3;0;91,6317014057198;1,92662515566625;"strict";1090;3935;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1
"22";9463116;"14/11/15";"Madrid";"Carabanchel";40,3857845358866;-3,73380053305769;28025;"Loft";"Entire home/apt";6;2;3;3;0;91,6317014057198;1,92662515566625;"strict";1090;1554;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0
