ID;Host.Since;Neighbourhood.Group.Cleansed;City;Latitude;Longitude;Zipcode;Property.Type;Room.Type;Accommodates;Bathrooms;Bedrooms;Beds;Number.of.Reviews;Review.Scores.Rating;Reviews.per.Month;Cancellation.Policy;precio.total;Prom.Price.m2.2017;Wireless Internet;Kitchen;Heating;Essentials;Washer;TV;Elevator in building;Family/kid friendly;Iron;Hair dryer;Air conditioning;Laptop friendly workspace;Smoke detector;Wheelchair accessible;Lock on bedroom door;Free parking on premises
6485459;27/04/2015;Retiro;Madrid;"40,41422904";"-3,688971956";28014;Apartment;Entire home/apt;2;1;1;2;0;"91,60293384";"1,935054739";strict;1105;3404;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
12487596;14/11/2012;Centro;Madrid;"40,42339882";"-3,695154263";28004;Apartment;Entire home/apt;14;5;5;10;11;100;"1,39";strict;1100;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
17259719;20/02/2015;Salamanca;Madrid;"40,42164855";"-3,687023691";28009;Apartment;Entire home/apt;4;"2,5";2;3;0;"91,60293384";"1,935054739";strict;1090;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
9463116;14/11/2015;Carabanchel;Madrid;"40,38578454";"-3,733800533";28025;Loft;Entire home/apt;6;2;3;3;0;"91,60293384";"1,935054739";strict;1090;1554;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE
17354958;20/02/2015;Centro;Madrid;"40,41231685";"-3,714903615";28005;Apartment;Entire home/apt;6;2;3;5;1;100;"0,77";strict;1080;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
8984546;27/04/2015;Salamanca;Madrid;"40,42981487";"-3,674375217";28006;Apartment;Entire home/apt;2;1;1;2;0;"91,60293384";"1,935054739";strict;1080;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
13844318;04/07/2016;Salamanca;Madrid;"40,42748165";"-3,685693466";28001;Apartment;Entire home/apt;7;3;4;7;3;80;"0,48";strict;1079;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE
8216827;27/04/2015;Salamanca;Madrid;"40,43597712";"-3,683956452";28006;Apartment;Entire home/apt;2;1;1;2;0;"91,60293384";"1,935054739";strict;1060;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
9017416;27/04/2015;Salamanca;Madrid;"40,43017231";"-3,674468964";28006;Apartment;Entire home/apt;2;1;1;2;0;"91,60293384";"1,935054739";strict;1055;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
10682512;17/03/2013;Chamberí;Madrid;"40,43013384";"-3,701324551";28004;Apartment;Entire home/apt;10;3;4;8;11;96;"0,96";strict;1050;3863;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
5999942;20/02/2015;Salamanca;Madrid;"40,42678901";"-3,682027943";28001;Apartment;Entire home/apt;6;2;3;4;9;93;"0,38";strict;1050;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
6119334;22/04/2015;Centro;Madrid;"40,41602403";"-3,711067275";28013;Apartment;Entire home/apt;16;6;6;16;47;96;"2,5";strict;1050;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
